example_id                                                             | status  | run_time               |
./embedded_player/aldi/playlist/iab-rectangle_spec.rb[1:1:1:1:1:2]     | passed  | 1.2 seconds            |
./embedded_player/aldi/playlist/iab-rectangle_spec.rb[1:1:1:1:1:3]     | passed  | 2.8 seconds            |
./embedded_player/aldi/playlist/iab-rectangle_spec.rb[1:1:1:1:1:4]     | passed  | 16.78 seconds          |
./embedded_player/aldi/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:1]    | passed  | 11.88 seconds          |
./embedded_player/aldi/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:2]    | passed  | 1.7 seconds            |
./embedded_player/aldi/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:3]    | passed  | 3.06 seconds           |
./embedded_player/aldi/playlist/iab-skyscraper_spec.rb[1:1:1:1:1:4]    | passed  | 14.11 seconds          |
./embedded_player/aldi/playlist/square_spec.rb[1:1:1:1:1:1]            | passed  | 11.29 seconds          |
./embedded_player/aldi/playlist/square_spec.rb[1:1:1:1:1:2]            | passed  | 1.18 seconds           |
./embedded_player/aldi/playlist/square_spec.rb[1:1:1:1:1:3]            | passed  | 2.87 seconds           |
./embedded_player/aldi/playlist/square_spec.rb[1:1:1:1:1:4]            | passed  | 15.67 seconds          |
./embedded_player/aldi/playlist/track_spec.rb[1:1:1:1:1:1]             | passed  | 11.02 seconds          |
./embedded_player/aldi/playlist/track_spec.rb[1:1:1:1:1:2]             | passed  | 1.51 seconds           |
./embedded_player/aldi/playlist/track_spec.rb[1:1:1:1:1:3]             | passed  | 2.86 seconds           |
./embedded_player/aldi/playlist/track_spec.rb[1:1:1:1:1:4]             | passed  | 12.72 seconds          |
./embedded_player/aldi/track/horizontal_spec.rb[1:1:1:1:1:1]           | passed  | 9.25 seconds           |
./embedded_player/aldi/track/horizontal_spec.rb[1:1:1:1:1:2]           | passed  | 1.68 seconds           |
./embedded_player/aldi/track/horizontal_spec.rb[1:1:1:1:1:3]           | passed  | 3.3 seconds            |
./embedded_player/aldi/track/horizontal_spec.rb[1:1:1:1:1:4]           | passed  | 11.71 seconds          |
./embedded_player/aldi/track/iab-rectangle_spec.rb[1:1:1:1:1:1]        | passed  | 11.77 seconds          |
./embedded_player/aldi/track/iab-rectangle_spec.rb[1:1:1:1:1:2]        | passed  | 1.18 seconds           |
./embedded_player/aldi/track/iab-rectangle_spec.rb[1:1:1:1:1:3]        | passed  | 2.79 seconds           |
./embedded_player/aldi/track/iab-rectangle_spec.rb[1:1:1:1:1:4]        | passed  | 11.86 seconds          |
./embedded_player/aldi/track/iab-skyscraper_spec.rb[1:1:1:1:1:1]       | passed  | 9.53 seconds           |
./embedded_player/aldi/track/iab-skyscraper_spec.rb[1:1:1:1:1:2]       | passed  | 1.11 seconds           |
./embedded_player/aldi/track/iab-skyscraper_spec.rb[1:1:1:1:1:3]       | passed  | 2.72 seconds           |
./embedded_player/aldi/track/iab-skyscraper_spec.rb[1:1:1:1:1:4]       | passed  | 12.76 seconds          |
./embedded_player/aldi/track/square_spec.rb[1:1:1:1:1:1]               | passed  | 9.23 seconds           |
./embedded_player/aldi/track/square_spec.rb[1:1:1:1:1:2]               | passed  | 1.17 seconds           |
./embedded_player/aldi/track/square_spec.rb[1:1:1:1:1:3]               | passed  | 2.76 seconds           |
./embedded_player/aldi/track/square_spec.rb[1:1:1:1:1:4]               | passed  | 11.69 seconds          |
./embedded_player/aldi/track/track_spec.rb[1:1:1:1:1:1]                | passed  | 10 seconds             |
./embedded_player/aldi/track/track_spec.rb[1:1:1:1:1:2]                | passed  | 1.46 seconds           |
./embedded_player/aldi/track/track_spec.rb[1:1:1:1:1:3]                | passed  | 2.93 seconds           |
./embedded_player/aldi/track/track_spec.rb[1:1:1:1:1:4]                | passed  | 13.47 seconds          |
./embedded_player/ca/album/horizontal_spec.rb[1:1:1:1:1:1]             | passed  | 11.55 seconds          |
./embedded_player/ca/album/horizontal_spec.rb[1:1:1:1:1:2]             | passed  | 1.75 seconds           |
./embedded_player/ca/album/horizontal_spec.rb[1:1:1:1:1:3]             | passed  | 3.03 seconds           |
./embedded_player/ca/album/horizontal_spec.rb[1:1:1:1:1:4]             | passed  | 13.13 seconds          |
